Taxa	Taxa Name	Number of Sites	Gametes Missing	Proportion Missing	Number Heterozygous	Proportion Heterozygous	Inbreeding Coefficient	Inbreeding Coefficient Scaled by Missing
175	Mt42:250040078	27535	15914	0.28898	54	0.00276	Inbreeding Coefficient	ICSBM
176	N192:250040210	27535	3350	0.06083	58	0.00224	Inbreeding Coefficient	ICSBM
177	N28Ht:250040201	27535	8558	0.1554	49	0.00211	Inbreeding Coefficient	ICSBM
178	N6:250040002	27535	7670	0.13928	16	6.7511E-4	Inbreeding Coefficient	ICSBM
179	N7A:250040820	27535	7430	0.13492	74	0.00311	Inbreeding Coefficient	ICSBM
180	NC222:250040183	27535	11984	0.21761	49	0.00227	Inbreeding Coefficient	ICSBM
181	NC230:250047946	27535	11988	0.21769	36	0.00167	Inbreeding Coefficient	ICSBM
182	NC232:250040051	27535	15180	0.27565	39	0.00196	Inbreeding Coefficient	ICSBM
183	NC236:250040160	27535	16528	0.30013	110	0.00571	Inbreeding Coefficient	ICSBM
184	NC238:250040132	27535	11320	0.20556	45	0.00206	Inbreeding Coefficient	ICSBM
185	NC250:250047923	27535	8224	0.14934	18	7.6848E-4	Inbreeding Coefficient	ICSBM
186	NC258:250040216	27535	10178	0.18482	16	7.1282E-4	Inbreeding Coefficient	ICSBM
187	NC260:250040024	27535	8732	0.15856	78	0.00337	Inbreeding Coefficient	ICSBM
188	NC262:250039773	27535	8738	0.15867	27	0.00117	Inbreeding Coefficient	ICSBM
189	NC264:250040075	27535	11536	0.20948	52	0.00239	Inbreeding Coefficient	ICSBM
190	NC290A:250047937	27535	8574	0.15569	30	0.00129	Inbreeding Coefficient	ICSBM
191	NC294:250040036	27535	6190	0.1124	46	0.00188	Inbreeding Coefficient	ICSBM
192	NC296:250040053	27535	7206	0.13085	34	0.00142	Inbreeding Coefficient	ICSBM
193	NC296A:250040056	27535	7890	0.14327	34	0.00144	Inbreeding Coefficient	ICSBM
194	NC298:250047971	27535	11186	0.20312	15	6.8362E-4	Inbreeding Coefficient	ICSBM
195	NC300:250047982	27535	10986	0.19949	19	8.6199E-4	Inbreeding Coefficient	ICSBM
196	NC302:250040180	27535	10736	0.19495	95	0.00429	Inbreeding Coefficient	ICSBM
197	NC304:250040169	27535	12218	0.22186	124	0.00579	Inbreeding Coefficient	ICSBM
198	NC306:250040076	27535	4912	0.0892	37	0.00148	Inbreeding Coefficient	ICSBM
199	NC310:250040065	27535	3566	0.06475	36	0.0014	Inbreeding Coefficient	ICSBM
200	NC314:250040194	27535	5708	0.10365	43	0.00174	Inbreeding Coefficient	ICSBM
201	NC318:250047989	27535	10002	0.18162	37	0.00164	Inbreeding Coefficient	ICSBM
202	NC320:250047967	27535	10656	0.1935	21	9.4565E-4	Inbreeding Coefficient	ICSBM
203	NC324:250040069	27535	6328	0.11491	37	0.00152	Inbreeding Coefficient	ICSBM
204	NC326:250040166	27535	2104	0.03821	39	0.00147	Inbreeding Coefficient	ICSBM
205	NC328:250039757	27535	2750	0.04994	22	8.4098E-4	Inbreeding Coefficient	ICSBM
206	NC336:250040052	27535	10432	0.18943	15	6.7207E-4	Inbreeding Coefficient	ICSBM
207	NC338:250047953	27535	12460	0.22626	32	0.0015	Inbreeding Coefficient	ICSBM
208	NC33:250040089	27535	14206	0.25796	139	0.0068	Inbreeding Coefficient	ICSBM
209	NC340:250040057	27535	10850	0.19702	51	0.00231	Inbreeding Coefficient	ICSBM
210	NC342:250040007	27535	10992	0.1996	36	0.00163	Inbreeding Coefficient	ICSBM
211	NC344:250040004	27535	10452	0.18979	32	0.00143	Inbreeding Coefficient	ICSBM
212	NC346:250040189	27535	7478	0.13579	41	0.00172	Inbreeding Coefficient	ICSBM
213	NC348:250040064	27535	11288	0.20498	38	0.00174	Inbreeding Coefficient	ICSBM
214	NC350:250040836	27535	7398	0.13434	65	0.00273	Inbreeding Coefficient	ICSBM
215	NC352:250040179	27535	10786	0.19586	26	0.00117	Inbreeding Coefficient	ICSBM
216	NC354:250040079	27535	13254	0.24068	43	0.00206	Inbreeding Coefficient	ICSBM
217	NC356:250047939	27535	10952	0.19887	34	0.00154	Inbreeding Coefficient	ICSBM
218	NC358:250040819	27535	7484	0.1359	77	0.00324	Inbreeding Coefficient	ICSBM
219	NC360:250040155	27535	14060	0.25531	49	0.00239	Inbreeding Coefficient	ICSBM
220	NC362:250040220	27535	10526	0.19114	51	0.00229	Inbreeding Coefficient	ICSBM
221	NC364:250047976	27535	10586	0.19223	41	0.00184	Inbreeding Coefficient	ICSBM
222	NC366:250040172	27535	14194	0.25774	89	0.00435	Inbreeding Coefficient	ICSBM
223	NC368:250039784	27535	5788	0.1051	29	0.00118	Inbreeding Coefficient	ICSBM
224	ND246:250040045	27535	13052	0.23701	43	0.00205	Inbreeding Coefficient	ICSBM
225	OH7B:250040830	27535	5784	0.10503	86	0.00349	Inbreeding Coefficient	ICSBM
226	Oh40B:250047980	27535	8604	0.15624	22	9.4693E-4	Inbreeding Coefficient	ICSBM
227	Oh43:250040825	27535	5304	0.09631	70	0.00281	Inbreeding Coefficient	ICSBM
228	Oh43E:250039798	27535	6556	0.11905	7	2.8858E-4	Inbreeding Coefficient	ICSBM
229	Oh603:250047972	27535	17108	0.31066	19	0.001	Inbreeding Coefficient	ICSBM
230	Os420:250047960	27535	10552	0.19161	20	8.9851E-4	Inbreeding Coefficient	ICSBM
231	P39:250040828	27535	7290	0.13238	54	0.00226	Inbreeding Coefficient	ICSBM
232	Pa762:250040188	27535	9898	0.17973	585	0.0259	Inbreeding Coefficient	ICSBM
233	Pa875:250039820	27535	11384	0.20672	37	0.00169	Inbreeding Coefficient	ICSBM
234	Pa880:250040824	27535	8898	0.16158	65	0.00282	Inbreeding Coefficient	ICSBM
235	Pa91:250040163	27535	8524	0.15478	14	6.0156E-4	Inbreeding Coefficient	ICSBM
236	R109B:250047926	27535	16844	0.30587	533	0.02789	Inbreeding Coefficient	ICSBM
237	R168:250047929	27535	9098	0.16521	27	0.00117	Inbreeding Coefficient	ICSBM
238	R177:250040072	27535	10952	0.19887	32	0.00145	Inbreeding Coefficient	ICSBM
239	R229:250040041	27535	2878	0.05226	53	0.00203	Inbreeding Coefficient	ICSBM
240	R4:250040086	27535	7928	0.14396	39	0.00165	Inbreeding Coefficient	ICSBM
241	SA24:250040033	27535	8446	0.15337	37	0.00159	Inbreeding Coefficient	ICSBM
242	SC213R:250047978	27535	11850	0.21518	43	0.00199	Inbreeding Coefficient	ICSBM
243	SC357:250040094	27535	13064	0.23723	58	0.00276	Inbreeding Coefficient	ICSBM
244	SC55:250040090	27535	14036	0.25488	42	0.00205	Inbreeding Coefficient	ICSBM
245	SD40:250040070	27535	6996	0.12704	119	0.00495	Inbreeding Coefficient	ICSBM
246	SD44:250040030	27535	11596	0.21057	34	0.00156	Inbreeding Coefficient	ICSBM
247	Sg1533:250040200	27535	8724	0.15842	42	0.00181	Inbreeding Coefficient	ICSBM
248	Sg18:250047958	27535	8596	0.15609	16	6.8856E-4	Inbreeding Coefficient	ICSBM
249	T232:250040156	27535	11678	0.21206	42	0.00194	Inbreeding Coefficient	ICSBM
250	T234:250040008	27535	16464	0.29896	26	0.00135	Inbreeding Coefficient	ICSBM
251	T8:250040060	27535	8744	0.15878	32	0.00138	Inbreeding Coefficient	ICSBM
252	Tx303:250040816	27535	7410	0.13456	70	0.00294	Inbreeding Coefficient	ICSBM
253	Tx601:250040059	27535	13632	0.24754	61	0.00294	Inbreeding Coefficient	ICSBM
254	Tzi10:250040038	27535	15126	0.27467	41	0.00205	Inbreeding Coefficient	ICSBM
255	Tzi11:250040092	27535	14864	0.26991	201	0.01	Inbreeding Coefficient	ICSBM
256	Tzi16:250040058	27535	10126	0.18388	46	0.00205	Inbreeding Coefficient	ICSBM
257	Tzi18:250040049	27535	10642	0.19324	40	0.0018	Inbreeding Coefficient	ICSBM
258	Tzi25:250047965	27535	13830	0.25113	64	0.0031	Inbreeding Coefficient	ICSBM
259	Tzi8:250040823	27535	6982	0.12678	1380	0.05739	Inbreeding Coefficient	ICSBM
260	Tzi9:250040017	27535	12762	0.23174	42	0.00199	Inbreeding Coefficient	ICSBM
261	U267Y:250040221	27535	12366	0.22455	96	0.0045	Inbreeding Coefficient	ICSBM
262	VA102:250040204	27535	4476	0.08128	29	0.00115	Inbreeding Coefficient	ICSBM
263	Va14:250040022	27535	10098	0.18337	72	0.0032	Inbreeding Coefficient	ICSBM
264	Va17:250040077	27535	8336	0.15137	18	7.7032E-4	Inbreeding Coefficient	ICSBM
265	Va22:250048010	27535	9562	0.17363	23	0.00101	Inbreeding Coefficient	ICSBM
266	Va26:250040214	27535	9846	0.17879	79	0.00349	Inbreeding Coefficient	ICSBM
267	Va35:250047974	27535	8318	0.15104	32	0.00137	Inbreeding Coefficient	ICSBM
268	Va59:250039780	27535	8794	0.15969	26	0.00112	Inbreeding Coefficient	ICSBM
