<Phenotype>				
taxa	data	data	data	data
Taxa	BranchNum	DTA	NIRProtein	FER
K64:250040197	23.65074546	81.2015	12.2958	3.1853
Ki11:250040812	22.31467428	88.3352	14.1615	3.5811
Ki14:250047943	26.16664777	94.8464	14.1494	NA
Ki2021:250040139	28.86324567	94.7581	14.9094	2.9435
Ki21:250040067	23.30457567	83.906	12.8002	2.925
Ki3:250040831	23.65072558	85.4793	13.1387	2.5572
Ki43:250040196	20.20254425	85.8236	15.1251	2.154
Ki44:250040152	24.09813963	87.2023	14.3067	2.054
Ky21:250040813	26.71703272	80.9142	13.7732	3.2802
KY226:250040192	24.54376854	80.0678	14.7633	3.2586
KY228:250040205	27.27689215	79.8984	14.1423	3.4652
L317:250047944	25.8901006	76.3518	13.5525	3.3615
L578:250040048	21.34181114	87.2289	15.8542	2.9535
M14:250047977	22.2502239	70.932	15.4062	3.236
M162W:250040834	21.35518465	85.5768	12.7418	3.5399
M37W:250040826	23.66607168	79.5016	14.4466	3.0583
MEF156-55-2:250040202	21.51261084	64.3146	15.1889	3.7104
Mo17:250020994	16.36765977	72.7428	13.6972	3.0714
Mo18W:250040814	30.20706714	86.9676	12.7051	2.5322
MO1W:250040219	19.63799119	75.6329	14.3926	2.9182
Mo24W:250040043	26.09813522	78.26	12.6018	2.8247
Mo44:250040050	17.70728371	73.2791	13.2028	3.3657
Mo45:250040213	20.90866996	75.5259	13.09	2.3912
Mo46:250040028	23.0263285	76.1354	14.5503	2.2691
Mo47:250040136	24.66142952	70.756	13.256	3.0888
MoG:250040000	23.24070412	78.206	14.2789	3.0533
Mp339:250040217	18.69647475	83.2418	15.2613	3.1104
MS1334:250040085	18.88988236	65.1052	15.0222	3.2388
MS153:250040218	22.19492315	70.6038	13.7949	3.3382
MS71:250040817	22.89330315	71.6186	13.97	3.1917
Mt42:250040078	20.94337355	61.7178	14.202	2.2675
N192:250040210	17.63676372	68.058	14.9275	2.7277
N28Ht:250040201	22.30914618	75.2583	12.6785	2.8827
N6:250040002	23.84254361	72.6026	13.3741	2.1156
N7A:250040820	21.88324376	74.0413	13.8254	2.6164
NC222:250040183	26.11003784	83.7367	14.524	1.7702
NC230:250047946	23.74718698	79.0367	12.5638	2.7042
NC232:250040051	25.18452108	79.1899	14.0955	3.1751
NC236:250040160	29.13303129	83.6959	12.4989	3.5738
NC238:250040132	27.16655453	87.4369	12.8165	3.2829
NC250:250047923	15.86739164	74.7598	13.7314	3.109
NC258:250040216	20.03620421	80.9409	12.6373	2.62
NC260:250040024	20.62761828	75.9434	14.1273	3.4477
NC262:250039773	17.86171941	70.7831	11.4622	2.2474
NC264:250040075	25.78999993	77.403	13.6406	2.4628
NC290A:250047937	17.79535977	77.9386	12.2071	2.8751
NC294:250040036	17.60156549	75.938	13.089	3.0427
NC296:250040053	22.98141129	81.5742	12.3975	2.3625
NC296A:250040056	20.94296523	82.25	12.2275	2.9053
NC298:250047971	24.28818326	82.753	14.4212	3.4739
NC300:250047982	19.71994454	84.3887	13.9621	2.7474
NC302:250040180	24.38143233	78.753	12.129	2.1428
NC304:250040169	24.69199621	80.7931	13.2505	2.74
NC306:250040076	23.68423796	77.6159	13.9734	2.95
NC310:250040065	21.3800881	75.523	13.6411	2.3913
NC314:250040194	20.31553342	75.5002	14.1138	3.5461
NC318:250047989	30.62649695	80.7543	14.106	2.2333
NC320:250047967	28.61914998	80.8869	14.2362	2.1996
NC324:250040069	20.24825872	76.9135	12.8466	3.8483
NC326:250040166	18.59618571	76.8803	13.6676	3.018
NC328:250039757	18.18546345	76.3595	13.0514	2.4236
NC33:250040089	26.18179584	83.223	16.1792	3.1403
NC336:250040052	25.24543461	84.4267	13.2385	2.0239
NC338:250047953	25.14444264	83.7347	13.0389	2.2911
NC340:250040057	22.36449266	81.8912	13.6617	2.5919
NC342:250040007	20.70408384	76.4067	13.3775	2.6674
NC344:250040004	21.74191055	78.8329	12.2115	2.9109
NC346:250040189	23.2277267	82.344	13.603	2.2939
NC348:250040064	23.5267833	80.7446	13.6979	3.6444
NC350:250040836	23.33018764	82.0914	15.1597	2.5062
NC352:250040179	25.0406058	84.4766	12.6012	2.3346
NC354:250040079	25.6887813	83.4734	14.2168	2.498
NC356:250047939	23.92835643	80.5529	13.0281	2.0904
NC358:250040819	25.87577472	77.5552	12.5039	1.8987
NC360:250040155	18.79007323	82.5742	13.3007	2.6234
NC362:250040220	17.73240502	77.7561	12.4616	2.3064
NC364:250047976	17.6846296	75.9142	12.6716	2.5762
NC366:250040172	25.24779771	84.3074	13.3841	2.7934
NC368:250039784	20.85900592	77.8869	14.3335	3.0371
ND246:250040045	22.85625467	61.9532	15.2299	3.6138
Oh40B:250047980	20.42623737	74.0546	14.4247	3.1532
Oh43:250040825	17.76650244	70.6473	13.2442	2.9271
Oh43E:250039798	15.24480677	71.7552	14.7121	3.1136
Oh603:250047972	21.3715182	78.1499	14.8822	1.9211
OH7B:250040830	20.24763357	83.0109	14.81	3.5376
Os420:250047960	20.86911833	72.3912	15.3416	2.8109
P39:250040828	22.82885957	65.1177	17.1723	4.3892
Pa762:250040188	15.73295317	75.744	14.3223	2.9383
Pa875:250039820	27.42716787	75.9763	14.3352	3.0406
Pa880:250040824	25.92983544	75.8185	14.7568	3.6137
